Date,Tile,Tile Latitude,Tile Longitude,SRVCC Handover-4G to 2G/SRVCC HO-4G to 2G Failure (#),SRVCC Handover-4G to 2G/SRVCC HO-4G to 2G Failure Rate (%),SRVCC Handover-4G to 2G/SRVCC HO-4G to 2G Weighted Failure,SRVCC Handover-4G to 2G/SRVCC HO-4G to 2G Success (#),SRVCC Handover-4G to 2G/SRVCC HO-4G to 2G Success Rate (%),SRVCC Handover-4G to 2G/SRVCC HO-4G to 2G Attempt (#),SRVCC Handover-4G to 2G/SRVCC HO-4G to 2G Interruption Time (ms)
2026/06/24 - 2026/06/25,'5858814019546630566',19.07282,72.83433,4,2.67,0.11,146,97.33,150,
2026/05/27 - 2026/05/28,'5833424509250876965',19.03926,72.88412,8,2.0,0.16,392,98.0,400,
2026/05/27 - 2026/05/28,'5858814019546630566',19.07282,72.83433,3,2.0,0.06,147,98.0,150,
2026/06/03 - 2026/06/04,'5878529227354411196',19.03928,72.85253,2,1.44,0.03,137,98.56,139,
2026/06/17 - 2026/06/18,'5839469466902639692',19.05354,72.83094,2,2.25,0.04,87,97.75,89,
2026/06/03 - 2026/06/04,'5857090836881594646',19.03647,72.87539,85,100.0,85.0,0,0.0,85,
2026/06/24 - 2026/06/25,'5857090836881594646',19.03647,72.87539,1,0.72,0.01,138,99.28,139,
2026/06/03 - 2026/06/04,'5869042986827619702',19.11633,72.82108,96,96.0,92.16,4,4.0,100,
2026/06/10 - 2026/06/11,'5876225076320244883',19.06549,72.87708,3,3.37,0.1,86,96.63,89,
2026/06/24 - 2026/06/25,'5865867791705633753',19.03266,72.8554,101,99.02,100.01,1,0.98,102,
2026/06/10 - 2026/06/11,'5858814019546630566',19.07282,72.83433,2,0.74,0.01,270,99.26,272,
2026/05/27 - 2026/05/28,'5876452803262022407',19.07554,72.89012,0,0.0,0.0,139,100.0,139,
2026/06/17 - 2026/06/18,'5847962294469648007',19.02479,72.8933,7,2.57,0.18,265,97.43,272,
2026/06/24 - 2026/06/25,'5833424509250876965',19.03926,72.88412,1,0.85,0.01,116,99.15,117,
2026/06/17 - 2026/06/18,'5866642117629150172',19.0932,72.84335,270,97.83,264.14,6,2.17,276,
2026/06/10 - 2026/06/11,'5846635575321284606',19.03472,72.8676,4,2.74,0.11,142,97.26,146,
2026/06/24 - 2026/06/25,'5830295924558305991',19.03886,72.8347,4,1.45,0.06,272,98.55,276,
2026/05/27 - 2026/05/28,'5825848359743857676',19.07329,72.80802,31,4.47,1.39,662,95.53,693,
2026/06/10 - 2026/06/11,'5878529227354411196',19.03928,72.85253,273,98.91,270.02,3,1.09,276,
2026/06/03 - 2026/06/04,'5836034034991993802',19.02056,72.83955,87,97.75,85.04,2,2.25,89,
2026/06/17 - 2026/06/18,'5830295924558305991',19.03886,72.8347,4,3.92,0.16,98,96.08,102,
2026/06/24 - 2026/06/25,'5876452803262022407',19.07554,72.89012,134,96.4,129.18,5,3.6,139,
2026/06/10 - 2026/06/11,'5853220087925439651',19.08515,72.82525,676,97.55,659.44,17,2.45,693,
2026/05/27 - 2026/05/28,'5876225076320244883',19.06549,72.87708,3,3.37,0.1,86,96.63,89,
2026/06/10 - 2026/06/11,'5876452803262022407',19.07554,72.89012,265,96.01,254.43,11,3.99,276,
2026/06/10 - 2026/06/11,'5866642117629150172',19.0932,72.84335,12,4.41,0.53,260,95.59,272,
2026/06/17 - 2026/06/18,'5846635575321284606',19.03472,72.8676,8,4.32,0.35,177,95.68,185,
2026/05/27 - 2026/05/28,'5836034034991993802',19.02056,72.83955,135,97.12,131.11,4,2.88,139,
2026/06/24 - 2026/06/25,'5869042986827619702',19.11633,72.82108,139,95.21,132.34,7,4.79,146,
2026/06/03 - 2026/06/04,'5839469466902639692',19.05354,72.83094,9,2.25,0.2,391,97.75,400,
2026/06/03 - 2026/06/04,'5858814019546630566',19.07282,72.83433,2,2.0,0.04,98,98.0,100,
2026/05/27 - 2026/05/28,'5846635575321284606',19.03472,72.8676,140,95.89,134.25,6,4.11,146,
2026/06/17 - 2026/06/18,'5817559949759623258',19.08091,72.87173,7,4.67,0.33,143,95.33,150,
2026/06/10 - 2026/06/11,'5885590811560109431',19.08212,72.86508,0,0.0,0.0,91,100.0,91,
2026/06/10 - 2026/06/11,'5873040253140234351',19.0967,72.85136,391,97.75,382.2,9,2.25,400,
2026/06/03 - 2026/06/04,'5873040253140234351',19.0967,72.85136,99,97.06,96.09,3,2.94,102,
2026/06/10 - 2026/06/11,'5839469466902639692',19.05354,72.83094,1,0.37,0.0,271,99.63,272,
2026/06/17 - 2026/06/18,'5876452803262022407',19.07554,72.89012,1,1.18,0.01,84,98.82,85,
2026/06/17 - 2026/06/18,'5876225076320244883',19.06549,72.87708,1,1.18,0.01,84,98.82,85,
2026/06/24 - 2026/06/25,'5873040253140234351',19.0967,72.85136,2,0.29,0.01,691,99.71,693,
2026/05/27 - 2026/05/28,'5867896290075989956',19.09615,72.88138,5,3.42,0.17,141,96.58,146,
2026/06/03 - 2026/06/04,'5853220087925439651',19.08515,72.82525,180,97.3,175.14,5,2.7,185,
2026/05/27 - 2026/05/28,'5878529227354411196',19.03928,72.85253,9,3.26,0.29,267,96.74,276,
2026/06/10 - 2026/06/11,'5857090836881594646',19.03647,72.87539,84,98.82,83.01,1,1.18,85,
2026/06/24 - 2026/06/25,'5867896290075989956',19.09615,72.88138,5,4.27,0.21,112,95.73,117,
2026/06/24 - 2026/06/25,'5878529227354411196',19.03928,72.85253,2,2.6,0.05,75,97.4,77,
2026/06/03 - 2026/06/04,'5847962294469648007',19.02479,72.8933,138,99.28,137.01,1,0.72,139,
2026/05/27 - 2026/05/28,'5847962294469648007',19.02479,72.8933,1,1.18,0.01,84,98.82,85,
2026/06/17 - 2026/06/18,'5867896290075989956',19.09615,72.88138,12,3.0,0.36,388,97.0,400,
2026/06/03 - 2026/06/04,'5846635575321284606',19.03472,72.8676,1,1.1,0.01,90,98.9,91,
2026/06/03 - 2026/06/04,'5817559949759623258',19.08091,72.87173,1,1.1,0.01,90,98.9,91,
2026/05/27 - 2026/05/28,'5869042986827619702',19.11633,72.82108,4,3.42,0.14,113,96.58,117,
2026/06/03 - 2026/06/04,'5867896290075989956',19.09615,72.88138,3,3.0,0.09,97,97.0,100,
2026/05/27 - 2026/05/28,'5853220087925439651',19.08515,72.82525,1,1.0,0.01,99,99.0,100,
2026/05/27 - 2026/05/28,'5830295924558305991',19.03886,72.8347,111,94.87,105.31,6,5.13,117,
2026/06/10 - 2026/06/11,'5833424509250876965',19.03926,72.88412,4,2.67,0.11,146,97.33,150,
2026/06/24 - 2026/06/25,'5876225076320244883',19.06549,72.87708,3,3.37,0.1,86,96.63,89,
2026/06/17 - 2026/06/18,'5836034034991993802',19.02056,72.83955,1,0.54,0.01,184,99.46,185,
2026/06/17 - 2026/06/18,'5869042986827619702',19.11633,72.82108,0,0.0,0.0,91,100.0,91,
2026/06/24 - 2026/06/25,'5839469466902639692',19.05354,72.83094,2,2.2,0.04,89,97.8,91,
2026/06/17 - 2026/06/18,'5858814019546630566',19.07282,72.83433,260,95.59,248.53,12,4.41,272,
2026/06/24 - 2026/06/25,'5846635575321284606',19.03472,72.8676,3,3.9,0.12,74,96.1,77,
2026/05/27 - 2026/05/28,'5873040253140234351',19.0967,72.85136,1,1.18,0.01,84,98.82,85,
2026/06/24 - 2026/06/25,'5866642117629150172',19.0932,72.84335,1,0.72,0.01,138,99.28,139,
2026/06/24 - 2026/06/25,'5885590811560109431',19.08212,72.86508,259,95.22,246.62,13,4.78,272,
2026/06/10 - 2026/06/11,'5861481443250368354',19.05337,72.80125,2,1.44,0.03,137,98.56,139,
2026/06/17 - 2026/06/18,'5873040253140234351',19.0967,72.85136,3,3.3,0.1,88,96.7,91,
2026/05/27 - 2026/05/28,'5864057466923164664',19.03604,72.86485,1,1.0,0.01,99,99.0,100,
2026/06/24 - 2026/06/25,'5836034034991993802',19.02056,72.83955,1,0.98,0.01,101,99.02,102,
2026/06/03 - 2026/06/04,'5830295924558305991',19.03886,72.8347,5,3.33,0.17,145,96.67,150,
2026/06/24 - 2026/06/25,'5825848359743857676',19.07329,72.80802,2,1.71,0.03,115,98.29,117,
2026/06/17 - 2026/06/18,'5885590811560109431',19.08212,72.86508,141,96.58,136.18,5,3.42,146,
2026/06/17 - 2026/06/18,'5865867791705633753',19.03266,72.8554,3,2.56,0.08,114,97.44,117,
2026/06/10 - 2026/06/11,'5869042986827619702',19.11633,72.82108,2,1.96,0.04,100,98.04,102,
2026/06/17 - 2026/06/18,'5864057466923164664',19.03604,72.86485,2,1.37,0.03,144,98.63,146,
2026/05/27 - 2026/05/28,'5839469466902639692',19.05354,72.83094,116,99.15,115.01,1,0.85,117,
2026/06/17 - 2026/06/18,'5825848359743857676',19.07329,72.80802,4,4.0,0.16,96,96.0,100,
2026/06/03 - 2026/06/04,'5825848359743857676',19.07329,72.80802,5,4.27,0.21,112,95.73,117,
2026/06/10 - 2026/06/11,'5825848359743857676',19.07329,72.80802,6,4.0,0.24,144,96.0,150,
2026/05/27 - 2026/05/28,'5817559949759623258',19.08091,72.87173,10,3.68,0.37,262,96.32,272,
2026/06/10 - 2026/06/11,'5836034034991993802',19.02056,72.83955,8,2.94,0.24,264,97.06,272,
