Date,Tile,Tile Latitude,Tile Longitude,CSFB Analysis/Avg.CSFB Call Setup Time (ms),CSFB Analysis/Max.CSFB Call Setup Time (ms),CSFB Analysis/CSFB Attempt Count (#),CSFB Analysis/CSFB Success Count (#),CSFB Analysis/CSFB Failure Count (#),CSFB Analysis/CSFB Success Rate (%),CSFB Analysis/CSFB Failure Rate (%)
2026/06/10 - 2026/06/11,'5866642117629150172',19.0932,72.84335,68,1900,1206,1200,6,99.5,0.5
2026/06/10 - 2026/06/11,'5846635575321284606',19.03472,72.8676,96,10238,627,622,5,99.2,0.8
2026/06/24 - 2026/06/25,'5833424509250876965',19.03926,72.88412,135,6663,627,627,0,100.0,0.0
2026/06/03 - 2026/06/04,'5866642117629150172',19.0932,72.84335,144,12083,276,276,0,100.0,0.0
2026/05/27 - 2026/05/28,'5876452803262022407',19.07554,72.89012,179,4823,276,276,0,100.0,0.0
2026/06/17 - 2026/06/18,'5876225076320244883',19.06549,72.87708,184,7812,185,185,0,100.0,0.0
2026/06/03 - 2026/06/04,'5853220087925439651',19.08515,72.82525,77,8208,400,392,8,98.0,2.0
2026/06/03 - 2026/06/04,'5858814019546630566',19.07282,72.83433,69,8197,652,649,3,99.54,0.46
2026/06/03 - 2026/06/04,'5836034034991993802',19.02056,72.83955,85,4768,276,273,3,98.91,1.09
2026/06/17 - 2026/06/18,'5865867791705633753',19.03266,72.8554,192,2768,924,923,1,99.89,0.11
2026/06/17 - 2026/06/18,'5839469466902639692',19.05354,72.83094,186,11600,574,574,0,100.0,0.0
2026/06/10 - 2026/06/11,'5825848359743857676',19.07329,72.80802,100,438,1206,1192,14,98.84,1.16
2026/05/27 - 2026/05/28,'5864057466923164664',19.03604,72.86485,172,6912,1170,1161,9,99.23,0.77
2026/06/17 - 2026/06/18,'5858814019546630566',19.07282,72.83433,136,5514,91,90,1,98.9,1.1
2026/06/10 - 2026/06/11,'5830295924558305991',19.03886,72.8347,158,1706,540,534,6,98.89,1.11
2026/06/24 - 2026/06/25,'5878529227354411196',19.03928,72.85253,169,4623,400,400,0,100.0,0.0
2026/05/27 - 2026/05/28,'5876225076320244883',19.06549,72.87708,79,4200,1076,1075,1,99.91,0.09
2026/06/24 - 2026/06/25,'5846635575321284606',19.03472,72.8676,190,4199,813,803,10,98.77,1.23
2026/06/24 - 2026/06/25,'5858814019546630566',19.07282,72.83433,93,5236,807,807,0,100.0,0.0
2026/06/03 - 2026/06/04,'5830295924558305991',19.03886,72.8347,169,10308,807,797,10,98.76,1.24
2026/06/10 - 2026/06/11,'5833424509250876965',19.03926,72.88412,145,1298,91,89,2,97.8,2.2
2026/05/27 - 2026/05/28,'5833424509250876965',19.03926,72.88412,170,3718,1206,1206,0,100.0,0.0
2026/06/17 - 2026/06/18,'5867896290075989956',19.09615,72.88138,175,6169,500,500,0,100.0,0.0
2026/06/10 - 2026/06/11,'5876225076320244883',19.06549,72.87708,175,853,500,496,4,99.2,0.8
2026/05/27 - 2026/05/28,'5830295924558305991',19.03886,72.8347,120,5824,574,573,1,99.83,0.17
2026/06/17 - 2026/06/18,'5873040253140234351',19.0967,72.85136,184,2234,77,77,0,100.0,0.0
2026/06/10 - 2026/06/11,'5839469466902639692',19.05354,72.83094,173,11686,185,184,1,99.46,0.54
2026/06/24 - 2026/06/25,'5857090836881594646',19.03647,72.87539,179,3099,924,921,3,99.68,0.32
2026/05/27 - 2026/05/28,'5846635575321284606',19.03472,72.8676,95,9176,813,811,2,99.75,0.25
2026/06/17 - 2026/06/18,'5885590811560109431',19.08212,72.86508,147,9637,517,516,1,99.81,0.19
2026/06/24 - 2026/06/25,'5836034034991993802',19.02056,72.83955,117,1952,627,627,0,100.0,0.0
2026/05/27 - 2026/05/28,'5861481443250368354',19.05337,72.80125,112,2191,709,703,6,99.15,0.85
2026/06/17 - 2026/06/18,'5861481443250368354',19.05337,72.80125,91,2086,146,144,2,98.63,1.37
2026/06/10 - 2026/06/11,'5865867791705633753',19.03266,72.8554,192,5949,574,574,0,100.0,0.0
2026/06/17 - 2026/06/18,'5847962294469648007',19.02479,72.8933,86,1973,807,801,6,99.26,0.74
2026/06/03 - 2026/06/04,'5817559949759623258',19.08091,72.87173,180,8923,91,90,1,98.9,1.1
2026/06/24 - 2026/06/25,'5876225076320244883',19.06549,72.87708,183,5353,574,567,7,98.78,1.22
2026/05/27 - 2026/05/28,'5853220087925439651',19.08515,72.82525,189,1257,540,540,0,100.0,0.0
2026/06/10 - 2026/06/11,'5857090836881594646',19.03647,72.87539,163,3159,636,631,5,99.21,0.79
2026/05/27 - 2026/05/28,'5866642117629150172',19.0932,72.84335,64,2951,492,492,0,100.0,0.0
2026/05/27 - 2026/05/28,'5847962294469648007',19.02479,72.8933,183,8077,1259,1258,1,99.92,0.08
2026/06/10 - 2026/06/11,'5885590811560109431',19.08212,72.86508,120,6919,574,573,1,99.83,0.17
2026/06/17 - 2026/06/18,'5825848359743857676',19.07329,72.80802,113,11490,91,91,0,100.0,0.0
2026/05/27 - 2026/05/28,'5857090836881594646',19.03647,72.87539,199,6105,540,538,2,99.63,0.37
2026/06/10 - 2026/06/11,'5873040253140234351',19.0967,72.85136,181,7199,146,146,0,100.0,0.0
2026/06/24 - 2026/06/25,'5825848359743857676',19.07329,72.80802,164,7851,807,801,6,99.26,0.74
2026/05/27 - 2026/05/28,'5865867791705633753',19.03266,72.8554,98,2258,185,184,1,99.46,0.54
2026/06/10 - 2026/06/11,'5858814019546630566',19.07282,72.83433,66,9894,627,622,5,99.2,0.8
2026/05/27 - 2026/05/28,'5839469466902639692',19.05354,72.83094,157,7980,1206,1206,0,100.0,0.0
2026/06/10 - 2026/06/11,'5878529227354411196',19.03928,72.85253,173,9128,500,494,6,98.8,1.2
2026/06/24 - 2026/06/25,'5847962294469648007',19.02479,72.8933,66,8873,1076,1075,1,99.91,0.09
2026/06/03 - 2026/06/04,'5876452803262022407',19.07554,72.89012,136,1666,276,274,2,99.28,0.72
2026/06/10 - 2026/06/11,'5876452803262022407',19.07554,72.89012,113,10155,100,100,0,100.0,0.0
2026/05/27 - 2026/05/28,'5873040253140234351',19.0967,72.85136,121,5267,146,145,1,99.32,0.68
2026/05/27 - 2026/05/28,'5878529227354411196',19.03928,72.85253,98,3251,517,516,1,99.81,0.19
2026/06/17 - 2026/06/18,'5830295924558305991',19.03886,72.8347,155,5669,500,500,0,100.0,0.0
2026/06/17 - 2026/06/18,'5857090836881594646',19.03647,72.87539,165,1104,492,492,0,100.0,0.0
2026/06/03 - 2026/06/04,'5876225076320244883',19.06549,72.87708,192,11593,1206,1182,24,98.01,1.99
2026/06/17 - 2026/06/18,'5833424509250876965',19.03926,72.88412,194,683,1076,1075,1,99.91,0.09
2026/06/24 - 2026/06/25,'5817559949759623258',19.08091,72.87173,65,6477,1076,1054,22,97.96,2.04
2026/05/27 - 2026/05/28,'5867896290075989956',19.09615,72.88138,67,10259,400,395,5,98.75,1.25
2026/06/10 - 2026/06/11,'5869042986827619702',19.11633,72.82108,171,4765,924,913,11,98.81,1.19
2026/06/24 - 2026/06/25,'5867896290075989956',19.09615,72.88138,122,7620,91,91,0,100.0,0.0
2026/06/17 - 2026/06/18,'5869042986827619702',19.11633,72.82108,75,2222,1206,1192,14,98.84,1.16
2026/06/17 - 2026/06/18,'5817559949759623258',19.08091,72.87173,168,7912,185,185,0,100.0,0.0
2026/05/27 - 2026/05/28,'5869042986827619702',19.11633,72.82108,106,10358,636,635,1,99.84,0.16
2026/06/03 - 2026/06/04,'5873040253140234351',19.0967,72.85136,170,7959,77,77,0,100.0,0.0
2026/05/27 - 2026/05/28,'5858814019546630566',19.07282,72.83433,154,1420,517,517,0,100.0,0.0
2026/06/17 - 2026/06/18,'5876452803262022407',19.07554,72.89012,89,9370,100,100,0,100.0,0.0
