Date,Tile,Tile Latitude,Tile Longitude,Data Traffic/Total Traffic Volume (MB),Data Traffic/DL Traffic Volume (MB),Data Traffic/UL Traffic Volume (MB),Data Traffic/Avg. DL Throughput (Kbps),Data Traffic/Avg. UL Throughput (Kbps),Data Traffic/Max. DL Throughput (Kbps),Data Traffic/Max. UL Throughput (Kbps),DL in mbps,UL in mbps
2026/06/10 - 2026/06/11,'5861481443250368354',19.05337,72.80125,337983.35,314008.48,23974.87,19159.56,1636.07,2734670.24,78484.14,18.710508,1.597725
2026/06/17 - 2026/06/18,'5825848359743857676',19.07329,72.80802,549921.61,507416.75,42504.86,13370.47,1693.61,1500744.99,25708.51,13.0571,1.653916
2026/06/10 - 2026/06/11,'5876225076320244883',19.06549,72.87708,283014.64,250718.98,32295.66,11867.05,1348.22,1426490.65,35520.04,11.588916,1.316621
2026/05/27 - 2026/05/28,'5853220087925439651',19.08515,72.82525,634619.44,590359.39,44260.05,2880.14,779.17,387274.67,27262.26,2.812637,0.760908
2026/06/03 - 2026/06/04,'5873040253140234351',19.0967,72.85136,352998.3,329602.86,23395.44,3473.11,516.64,65191.36,17731.96,3.391709,0.504531
2026/06/17 - 2026/06/18,'5869042986827619702',19.11633,72.82108,522925.39,479975.91,42949.48,2165.6,1145.26,176049.83,26335.17,2.114844,1.118418
2026/06/24 - 2026/06/25,'5864057466923164664',19.03604,72.86485,168740.15,153804.42,14935.73,2547.12,1753.57,66368.29,80553.17,2.487422,1.712471
2026/06/17 - 2026/06/18,'5846635575321284606',19.03472,72.8676,187430.04,171497.54,15932.5,16967.28,1270.36,1347548.34,32226.93,16.569609,1.240586
2026/06/17 - 2026/06/18,'5836034034991993802',19.02056,72.83955,439724.68,393433.27,46291.41,7133.25,666.99,634704.05,30965.15,6.966064,0.651357
2026/06/24 - 2026/06/25,'5866642117629150172',19.0932,72.84335,596967.42,530305.13,66662.29,15529.7,1229.96,1733447.43,33544.39,15.165723,1.201133
2026/06/10 - 2026/06/11,'5878529227354411196',19.03928,72.85253,398478.62,360753.29,37725.33,980.14,683.53,10689.17,11862.79,0.957168,0.66751
2026/06/10 - 2026/06/11,'5864057466923164664',19.03604,72.86485,564496.58,522853.78,41642.8,13715.31,1704.62,1572408.24,31970.03,13.393857,1.664668
2026/06/17 - 2026/06/18,'5876225076320244883',19.06549,72.87708,383402.69,354694.35,28708.34,3695.42,1198.37,513310.43,63390.13,3.608809,1.170283
2026/06/10 - 2026/06/11,'5830295924558305991',19.03886,72.8347,269915.25,248528.28,21386.97,6321.85,1749.04,646121.11,17967.92,6.173682,1.708047
2026/06/17 - 2026/06/18,'5839469466902639692',19.05354,72.83094,143456.98,129905.65,13551.33,7648.31,1472.5,1007733.04,54073.66,7.469053,1.437988
2026/06/03 - 2026/06/04,'5876225076320244883',19.06549,72.87708,218365.6,195977.69,22387.91,744.08,1083.06,94955.53,37729.0,0.726641,1.057676
2026/06/03 - 2026/06/04,'5846635575321284606',19.03472,72.8676,181895.81,161780.05,20115.76,13732.88,727.01,634999.82,22218.05,13.411016,0.709971
2026/06/10 - 2026/06/11,'5847962294469648007',19.02479,72.8933,558629.18,511657.68,46971.5,4356.2,632.15,531958.74,32146.16,4.254102,0.617334
2026/06/17 - 2026/06/18,'5876452803262022407',19.07554,72.89012,388985.63,358550.97,30434.66,9969.84,1874.52,1333605.35,103347.86,9.736172,1.830586
2026/06/03 - 2026/06/04,'5878529227354411196',19.03928,72.85253,574391.86,530932.43,43459.43,2156.44,1543.63,13247.96,50254.3,2.105898,1.507451
2026/06/17 - 2026/06/18,'5885590811560109431',19.08212,72.86508,454473.8,413912.31,40561.49,14451.89,1541.92,885398.91,77170.96,14.113174,1.505781
2026/06/24 - 2026/06/25,'5878529227354411196',19.03928,72.85253,117779.09,109110.68,8668.41,10186.11,1509.93,145912.54,72570.11,9.947373,1.474541
2026/06/24 - 2026/06/25,'5825848359743857676',19.07329,72.80802,390659.33,347887.05,42772.28,6113.45,1931.51,546274.18,66964.99,5.970166,1.88624
2026/06/17 - 2026/06/18,'5817559949759623258',19.08091,72.87173,467254.36,433883.67,33370.69,10293.1,389.95,1274195.09,16516.3,10.051855,0.380811
2026/05/27 - 2026/05/28,'5876452803262022407',19.07554,72.89012,63036.3,58157.26,4879.04,12240.14,1501.84,105081.07,85326.86,11.953262,1.466641
