Date,Tile,Tile Latitude,Tile Longitude,VoLTE Drop/VoLTE Drop Count (#),VoLTE Drop/VoLTE Drop Rate (%),VoLTE Drop/Weighted VoLTE Drop,VoLTE Drop/VoLTE Drop End Count (#)
2026/06/24 - 2026/06/25,'5876452803262022407',19.07554,72.89012,12,25.0,8.11,48
2026/06/17 - 2026/06/18,'5864057466923164664',19.03604,72.86485,1,50.0,0.98,2
2026/05/27 - 2026/05/28,'5885590811560109431',19.08212,72.86508,2,1.48,0.85,135
2026/06/17 - 2026/06/18,'5876452803262022407',19.07554,72.89012,58,4.83,4.46,1200
2026/05/27 - 2026/05/28,'5866642117629150172',19.0932,72.84335,2,100.0,1.96,2
2026/06/10 - 2026/06/11,'5858814019546630566',19.07282,72.83433,141,5.88,5.64,2400
2026/06/10 - 2026/06/11,'5865867791705633753',19.03266,72.8554,1,50.0,0.98,2
2026/06/10 - 2026/06/11,'5825848359743857676',19.07329,72.80802,1,100.0,0.99,1
2026/06/03 - 2026/06/04,'5873040253140234351',19.0967,72.85136,29,2.42,2.23,1200
2026/06/24 - 2026/06/25,'5866642117629150172',19.0932,72.84335,243,20.25,18.69,1200
2026/06/10 - 2026/06/11,'5878529227354411196',19.03928,72.85253,1,100.0,0.99,1
2026/06/17 - 2026/06/18,'5839469466902639692',19.05354,72.83094,3,1.75,1.1,171
2026/05/27 - 2026/05/28,'5853220087925439651',19.08515,72.82525,15,15.15,7.54,99
2026/06/10 - 2026/06/11,'5846635575321284606',19.03472,72.8676,1,100.0,0.99,1
2026/06/03 - 2026/06/04,'5825848359743857676',19.07329,72.80802,0,0.0,0.0,16
2026/06/17 - 2026/06/18,'5861481443250368354',19.05337,72.80125,9,5.56,3.44,162
2026/05/27 - 2026/05/28,'5817559949759623258',19.08091,72.87173,1,6.25,0.86,16
2026/05/27 - 2026/05/28,'5876225076320244883',19.06549,72.87708,6,1.89,1.44,317
2026/06/10 - 2026/06/11,'5866642117629150172',19.0932,72.84335,2,12.5,1.72,16
2026/06/17 - 2026/06/18,'5830295924558305991',19.03886,72.8347,4,9.76,2.84,41
