Date,Tile,Tile Latitude,Tile Longitude,RRC Drop/RRC Drop Call Count (#),RRC Drop/RRC Drop Call Rate (%),RRC Drop/Weighted RRC Drop Call,RRC Drop/RRC Call End Count (#)
2026/06/03 - 2026/06/04,'5817559949759623258',19.08091,72.87173,7628,21.99,1677.61,34684
2026/06/24 - 2026/06/25,'5861481443250368354',19.05337,72.80125,2239,5.12,114.69,43712
2026/06/17 - 2026/06/18,'5885590811560109431',19.08212,72.86508,125,8.28,10.35,1510
2026/06/10 - 2026/06/11,'5857090836881594646',19.03647,72.87539,10205,11.83,1207.5,86246
2026/06/03 - 2026/06/04,'5867896290075989956',19.09615,72.88138,36917,53.15,19620.86,69460
2026/06/10 - 2026/06/11,'5876225076320244883',19.06549,72.87708,11410,24.68,2815.67,46237
2026/06/17 - 2026/06/18,'5873040253140234351',19.0967,72.85136,15575,35.88,5588.0,43411
2026/06/10 - 2026/06/11,'5866642117629150172',19.0932,72.84335,42379,61.42,26027.94,69002
2026/06/24 - 2026/06/25,'5830295924558305991',19.03886,72.8347,12497,37.88,4734.01,32990
2026/06/10 - 2026/06/11,'5830295924558305991',19.03886,72.8347,25793,58.93,15199.77,43769
2026/06/10 - 2026/06/11,'5867896290075989956',19.09615,72.88138,12506,29.26,3659.34,42740
2026/06/24 - 2026/06/25,'5857090836881594646',19.03647,72.87539,16057,47.48,7623.29,33821
2026/06/03 - 2026/06/04,'5857090836881594646',19.03647,72.87539,27747,48.44,13440.22,57283
2026/06/10 - 2026/06/11,'5839469466902639692',19.05354,72.83094,4699,22.96,1079.1,20462
2026/06/17 - 2026/06/18,'5817559949759623258',19.08091,72.87173,9859,12.39,1221.79,79555
2026/06/17 - 2026/06/18,'5846635575321284606',19.03472,72.8676,14946,29.78,4451.54,50181
2026/06/03 - 2026/06/04,'5876452803262022407',19.07554,72.89012,234,10.35,24.23,2260
2026/06/17 - 2026/06/18,'5876225076320244883',19.06549,72.87708,16160,66.19,10696.99,24413
2026/06/10 - 2026/06/11,'5817559949759623258',19.08091,72.87173,15875,48.2,7651.21,32938
2026/05/27 - 2026/05/28,'5869042986827619702',19.11633,72.82108,10564,38.64,4082.31,27337
2026/06/03 - 2026/06/04,'5825848359743857676',19.07329,72.80802,8898,39.36,3502.52,22605
2026/06/17 - 2026/06/18,'5869042986827619702',19.11633,72.82108,18364,19.55,3589.76,93944
2026/06/10 - 2026/06/11,'5833424509250876965',19.03926,72.88412,8649,39.15,3386.38,22090
2026/06/03 - 2026/06/04,'5830295924558305991',19.03886,72.8347,8852,15.17,1343.1,58341
2026/06/24 - 2026/06/25,'5846635575321284606',19.03472,72.8676,696,27.13,188.86,2565
2026/05/27 - 2026/05/28,'5865867791705633753',19.03266,72.8554,12712,17.56,2232.53,72382
2026/06/03 - 2026/06/04,'5878529227354411196',19.03928,72.85253,25950,32.12,8335.22,80790
2026/05/27 - 2026/05/28,'5878529227354411196',19.03928,72.85253,5478,7.65,419.01,71618
2026/06/10 - 2026/06/11,'5885590811560109431',19.08212,72.86508,5803,10.59,614.54,54797
