Date,Tile,Tile Latitude,Tile Longitude,VoLTE Drop/VoLTE Drop Count (#),VoLTE Drop/VoLTE Drop Rate (%),VoLTE Drop/Weighted VoLTE Drop,VoLTE Drop/VoLTE Drop End Count (#)
2026/06/24 - 2026/06/25,'5853220087925439651',19.08515,72.82525,93,7.75,7.15,1200
2026/06/03 - 2026/06/04,'5817559949759623258',19.08091,72.87173,1,100.0,0.99,1
2026/06/24 - 2026/06/25,'5876452803262022407',19.07554,72.89012,0,0.0,0.0,1
2026/06/03 - 2026/06/04,'5866642117629150172',19.0932,72.84335,10,3.15,2.39,317
2026/06/24 - 2026/06/25,'5878529227354411196',19.03928,72.85253,0,0.0,0.0,1
2026/05/27 - 2026/05/28,'5839469466902639692',19.05354,72.83094,8,2.52,1.92,317
2026/06/17 - 2026/06/18,'5873040253140234351',19.0967,72.85136,0,0.0,0.0,2
2026/06/10 - 2026/06/11,'5846635575321284606',19.03472,72.8676,334,13.92,13.36,2400
2026/06/17 - 2026/06/18,'5833424509250876965',19.03926,72.88412,1,0.62,0.38,162
2026/05/27 - 2026/05/28,'5864057466923164664',19.03604,72.86485,2,2.02,1.0,99
2026/06/03 - 2026/06/04,'5865867791705633753',19.03266,72.8554,1,50.0,0.98,2
2026/06/24 - 2026/06/25,'5825848359743857676',19.07329,72.80802,3,18.75,2.59,16
2026/06/24 - 2026/06/25,'5833424509250876965',19.03926,72.88412,52,2.17,2.08,2400
2026/06/03 - 2026/06/04,'5885590811560109431',19.08212,72.86508,1,100.0,0.99,1
2026/06/03 - 2026/06/04,'5857090836881594646',19.03647,72.87539,0,0.0,0.0,2
2026/06/03 - 2026/06/04,'5847962294469648007',19.02479,72.8933,99,4.12,3.96,2400
2026/06/10 - 2026/06/11,'5865867791705633753',19.03266,72.8554,38,5.7,4.96,667
2026/06/24 - 2026/06/25,'5885590811560109431',19.08212,72.86508,1,6.25,0.86,16
2026/06/03 - 2026/06/04,'5864057466923164664',19.03604,72.86485,1,2.44,0.71,41
2026/06/10 - 2026/06/11,'5876225076320244883',19.06549,72.87708,0,0.0,0.0,667
2026/06/24 - 2026/06/25,'5876225076320244883',19.06549,72.87708,2,12.5,1.72,16
2026/06/10 - 2026/06/11,'5866642117629150172',19.0932,72.84335,17,5.36,4.07,317
2026/06/10 - 2026/06/11,'5885590811560109431',19.08212,72.86508,398,16.58,15.92,2400
2026/06/03 - 2026/06/04,'5876452803262022407',19.07554,72.89012,0,0.0,0.0,99
2026/06/24 - 2026/06/25,'5873040253140234351',19.0967,72.85136,0,0.0,0.0,16
2026/06/03 - 2026/06/04,'5853220087925439651',19.08515,72.82525,0,0.0,0.0,99
2026/06/17 - 2026/06/18,'5876225076320244883',19.06549,72.87708,1,100.0,0.99,1
2026/06/17 - 2026/06/18,'5825848359743857676',19.07329,72.80802,0,0.0,0.0,1
2026/06/24 - 2026/06/25,'5817559949759623258',19.08091,72.87173,2,100.0,1.96,2
2026/06/24 - 2026/06/25,'5830295924558305991',19.03886,72.8347,1,50.0,0.98,2
2026/05/27 - 2026/05/28,'5858814019546630566',19.07282,72.83433,84,3.5,3.36,2400
2026/05/27 - 2026/05/28,'5865867791705633753',19.03266,72.8554,11,11.11,5.53,99
2026/05/27 - 2026/05/28,'5853220087925439651',19.08515,72.82525,2,12.5,1.72,16
2026/05/27 - 2026/05/28,'5817559949759623258',19.08091,72.87173,7,2.21,1.68,317
2026/05/27 - 2026/05/28,'5847962294469648007',19.02479,72.8933,0,0.0,0.0,1
2026/06/17 - 2026/06/18,'5858814019546630566',19.07282,72.83433,0,0.0,0.0,1
2026/06/24 - 2026/06/25,'5864057466923164664',19.03604,72.86485,1,6.25,0.86,16
2026/05/27 - 2026/05/28,'5876225076320244883',19.06549,72.87708,1,100.0,0.99,1
2026/05/27 - 2026/05/28,'5857090836881594646',19.03647,72.87539,1,100.0,0.99,1
2026/06/17 - 2026/06/18,'5839469466902639692',19.05354,72.83094,0,0.0,0.0,1
2026/05/27 - 2026/05/28,'5873040253140234351',19.0967,72.85136,1,6.25,0.86,16
2026/05/27 - 2026/05/28,'5825848359743857676',19.07329,72.80802,7,4.32,2.67,162
2026/06/17 - 2026/06/18,'5830295924558305991',19.03886,72.8347,42,3.5,3.23,1200
2026/05/27 - 2026/05/28,'5836034034991993802',19.02056,72.83955,58,18.3,13.91,317
2026/05/27 - 2026/05/28,'5861481443250368354',19.05337,72.80125,66,9.9,8.61,667
2026/06/24 - 2026/06/25,'5866642117629150172',19.0932,72.84335,2,4.88,1.42,41
2026/06/24 - 2026/06/25,'5861481443250368354',19.05337,72.80125,0,0.0,0.0,1
2026/06/17 - 2026/06/18,'5885590811560109431',19.08212,72.86508,1,100.0,0.99,1
2026/06/17 - 2026/06/18,'5846635575321284606',19.03472,72.8676,0,0.0,0.0,1
2026/06/24 - 2026/06/25,'5857090836881594646',19.03647,72.87539,1,2.08,0.67,48
2026/06/03 - 2026/06/04,'5867896290075989956',19.09615,72.88138,0,0.0,0.0,8
2026/06/17 - 2026/06/18,'5864057466923164664',19.03604,72.86485,4,4.04,2.01,99
2026/06/10 - 2026/06/11,'5830295924558305991',19.03886,72.8347,2,100.0,1.96,2
2026/06/10 - 2026/06/11,'5876452803262022407',19.07554,72.89012,7,4.32,2.67,162
2026/06/24 - 2026/06/25,'5839469466902639692',19.05354,72.83094,0,0.0,0.0,8
2026/06/17 - 2026/06/18,'5876452803262022407',19.07554,72.89012,100,4.17,4.0,2400
2026/06/17 - 2026/06/18,'5865867791705633753',19.03266,72.8554,2,25.0,1.85,8
2026/06/03 - 2026/06/04,'5846635575321284606',19.03472,72.8676,6,12.5,4.05,48
2026/06/10 - 2026/06/11,'5858814019546630566',19.07282,72.83433,22,22.22,11.05,99
2026/06/10 - 2026/06/11,'5817559949759623258',19.08091,72.87173,1,50.0,0.98,2
2026/05/27 - 2026/05/28,'5869042986827619702',19.11633,72.82108,1,100.0,0.99,1
2026/06/10 - 2026/06/11,'5878529227354411196',19.03928,72.85253,1,100.0,0.99,1
2026/06/10 - 2026/06/11,'5867896290075989956',19.09615,72.88138,2,2.02,1.0,99
2026/06/17 - 2026/06/18,'5847962294469648007',19.02479,72.8933,1,50.0,0.98,2
2026/06/24 - 2026/06/25,'5867896290075989956',19.09615,72.88138,0,0.0,0.0,2
2026/06/03 - 2026/06/04,'5873040253140234351',19.0967,72.85136,3,6.25,2.03,48
2026/05/27 - 2026/05/28,'5867896290075989956',19.09615,72.88138,0,0.0,0.0,1
2026/06/17 - 2026/06/18,'5861481443250368354',19.05337,72.80125,26,16.05,9.92,162
2026/06/10 - 2026/06/11,'5836034034991993802',19.02056,72.83955,0,0.0,0.0,8
