Date,Tile,Tile Latitude,Tile Longitude,RRC Drop/RRC Drop Call Count (#),RRC Drop/RRC Drop Call Rate (%),RRC Drop/Weighted RRC Drop Call,RRC Drop/RRC Call End Count (#)
2026/06/03 - 2026/06/04,'5846635575321284606',19.03472,72.8676,3038,3.52,107.08,86195
2026/05/27 - 2026/05/28,'5878529227354411196',19.03928,72.85253,15136,43.87,6639.96,34503
2026/06/10 - 2026/06/11,'5876225076320244883',19.06549,72.87708,10171,32.04,3259.27,31740
2026/06/17 - 2026/06/18,'5839469466902639692',19.05354,72.83094,4242,6.35,269.21,66843
2026/06/17 - 2026/06/18,'5878529227354411196',19.03928,72.85253,3528,7.73,272.62,45657
2026/06/17 - 2026/06/18,'5876225076320244883',19.06549,72.87708,2276,12.23,278.28,18615
2026/06/17 - 2026/06/18,'5864057466923164664',19.03604,72.86485,7866,11.9,936.05,66101
2026/06/10 - 2026/06/11,'5864057466923164664',19.03604,72.86485,1906,42.12,802.84,4525
2026/06/24 - 2026/06/25,'5846635575321284606',19.03472,72.8676,11386,12.02,1369.02,94696
2026/06/17 - 2026/06/18,'5873040253140234351',19.0967,72.85136,703,8.9,62.56,7900
2026/06/17 - 2026/06/18,'5876452803262022407',19.07554,72.89012,3303,10.94,361.19,30205
2026/06/24 - 2026/06/25,'5867896290075989956',19.09615,72.88138,622,11.73,72.98,5301
2026/06/10 - 2026/06/11,'5833424509250876965',19.03926,72.88412,12886,27.89,3593.75,46205
2026/06/10 - 2026/06/11,'5825848359743857676',19.07329,72.80802,5897,7.14,421.09,82582
2026/06/24 - 2026/06/25,'5830295924558305991',19.03886,72.8347,2966,4.37,129.58,67891
2026/05/27 - 2026/05/28,'5873040253140234351',19.0967,72.85136,2716,4.44,120.63,61150
2026/05/27 - 2026/05/28,'5864057466923164664',19.03604,72.86485,25298,38.1,9638.1,66402
2026/06/17 - 2026/06/18,'5825848359743857676',19.07329,72.80802,2539,8.02,203.5,31678
2026/06/17 - 2026/06/18,'5836034034991993802',19.02056,72.83955,2585,6.29,162.68,41077
2026/06/03 - 2026/06/04,'5858814019546630566',19.07282,72.83433,4200,39.12,1643.22,10735
2026/06/10 - 2026/06/11,'5873040253140234351',19.0967,72.85136,821,27.03,221.94,3037
2026/06/10 - 2026/06/11,'5867896290075989956',19.09615,72.88138,7251,22.23,1612.2,32612
2026/06/10 - 2026/06/11,'5866642117629150172',19.0932,72.84335,4602,43.14,1985.41,10667
2026/06/10 - 2026/06/11,'5878529227354411196',19.03928,72.85253,3429,20.07,688.17,17086
2026/06/17 - 2026/06/18,'5866642117629150172',19.0932,72.84335,18439,34.52,6365.07,53416
2026/06/24 - 2026/06/25,'5876225076320244883',19.06549,72.87708,15999,37.96,6072.64,42151
2026/06/10 - 2026/06/11,'5846635575321284606',19.03472,72.8676,3216,10.32,331.89,31163
2026/06/24 - 2026/06/25,'5825848359743857676',19.07329,72.80802,15318,26.15,4005.28,58583
2026/05/27 - 2026/05/28,'5876225076320244883',19.06549,72.87708,6466,7.36,475.87,87858
2026/06/17 - 2026/06/18,'5867896290075989956',19.09615,72.88138,10179,14.89,1515.75,68357
2026/05/27 - 2026/05/28,'5858814019546630566',19.07282,72.83433,2033,4.45,90.54,45647
2026/06/03 - 2026/06/04,'5864057466923164664',19.03604,72.86485,3076,11.87,365.16,25911
2026/06/17 - 2026/06/18,'5817559949759623258',19.08091,72.87173,14262,24.96,3560.51,57128
2026/06/24 - 2026/06/25,'5865867791705633753',19.03266,72.8554,18440,25.1,4627.76,73477
2026/06/03 - 2026/06/04,'5836034034991993802',19.02056,72.83955,404,5.33,21.55,7573
2026/06/03 - 2026/06/04,'5867896290075989956',19.09615,72.88138,2379,6.24,148.38,38142
2026/05/27 - 2026/05/28,'5866642117629150172',19.0932,72.84335,16148,22.78,3677.83,70900
2026/06/03 - 2026/06/04,'5878529227354411196',19.03928,72.85253,8799,11.06,972.79,79588
2026/05/27 - 2026/05/28,'5869042986827619702',19.11633,72.82108,10580,25.08,2653.28,42188
2026/06/17 - 2026/06/18,'5847962294469648007',19.02479,72.8933,9618,16.17,1555.32,59477
2026/06/24 - 2026/06/25,'5853220087925439651',19.08515,72.82525,13167,18.47,2431.9,71290
2026/06/10 - 2026/06/11,'5885590811560109431',19.08212,72.86508,31724,34.59,10973.5,91713
2026/06/24 - 2026/06/25,'5873040253140234351',19.0967,72.85136,11097,14.65,1625.85,75741
2026/06/17 - 2026/06/18,'5869042986827619702',19.11633,72.82108,9767,44.93,4388.57,21737
2026/06/24 - 2026/06/25,'5878529227354411196',19.03928,72.85253,4164,13.85,576.87,30057
2026/06/17 - 2026/06/18,'5846635575321284606',19.03472,72.8676,17002,21.36,3631.96,79590
2026/06/10 - 2026/06/11,'5858814019546630566',19.07282,72.83433,748,4.16,31.08,18002
2026/06/10 - 2026/06/11,'5830295924558305991',19.03886,72.8347,7225,25.98,1877.32,27806
2026/05/27 - 2026/05/28,'5876452803262022407',19.07554,72.89012,887,20.83,184.73,4259
2026/06/03 - 2026/06/04,'5817559949759623258',19.08091,72.87173,3582,16.2,580.34,22109
2026/06/03 - 2026/06/04,'5865867791705633753',19.03266,72.8554,6292,7.99,503.02,78703
2026/06/17 - 2026/06/18,'5858814019546630566',19.07282,72.83433,3036,4.38,133.02,69292
2026/05/27 - 2026/05/28,'5836034034991993802',19.02056,72.83955,1514,10.18,154.13,14872
2026/06/17 - 2026/06/18,'5885590811560109431',19.08212,72.86508,35181,44.5,15654.84,79062
2026/06/17 - 2026/06/18,'5853220087925439651',19.08515,72.82525,3425,10.46,358.11,32757
2026/05/27 - 2026/05/28,'5857090836881594646',19.03647,72.87539,512,4.65,23.8,11015
2026/06/10 - 2026/06/11,'5817559949759623258',19.08091,72.87173,9609,17.01,1634.24,56499
2026/06/10 - 2026/06/11,'5857090836881594646',19.03647,72.87539,733,30.1,220.65,2435
2026/06/03 - 2026/06/04,'5830295924558305991',19.03886,72.8347,240,3.03,7.27,7925
2026/05/27 - 2026/05/28,'5830295924558305991',19.03886,72.8347,2832,3.05,86.39,92838
2026/05/27 - 2026/05/28,'5833424509250876965',19.03926,72.88412,20730,37.69,7812.62,55005
2026/06/24 - 2026/06/25,'5876452803262022407',19.07554,72.89012,8384,16.29,1366.08,51455
2026/05/27 - 2026/05/28,'5846635575321284606',19.03472,72.8676,1107,4.66,51.57,23764
2026/06/10 - 2026/06/11,'5861481443250368354',19.05337,72.80125,19977,25.29,5052.16,78992
2026/06/03 - 2026/06/04,'5873040253140234351',19.0967,72.85136,18816,42.8,8052.45,43967
2026/05/27 - 2026/05/28,'5861481443250368354',19.05337,72.80125,5976,9.28,554.78,64373
2026/06/03 - 2026/06/04,'5876225076320244883',19.06549,72.87708,1669,31.06,518.44,5373
2026/06/03 - 2026/06/04,'5876452803262022407',19.07554,72.89012,4830,34.79,1680.51,13882
2026/06/10 - 2026/06/11,'5853220087925439651',19.08515,72.82525,14657,32.91,4824.12,44532
2026/06/24 - 2026/06/25,'5847962294469648007',19.02479,72.8933,7246,23.52,1704.03,30812
2026/06/03 - 2026/06/04,'5825848359743857676',19.07329,72.80802,7071,22.48,1589.49,31456
2026/06/17 - 2026/06/18,'5861481443250368354',19.05337,72.80125,17531,40.33,7069.58,43473
2026/06/17 - 2026/06/18,'5865867791705633753',19.03266,72.8554,10446,39.7,4146.8,26314
2026/05/27 - 2026/05/28,'5885590811560109431',19.08212,72.86508,23961,27.26,6531.18,87906
2026/05/27 - 2026/05/28,'5847962294469648007',19.02479,72.8933,14981,41.6,6232.1,36012
2026/06/24 - 2026/06/25,'5839469466902639692',19.05354,72.83094,2439,4.5,109.8,54178
