Date,Tile,Tile Latitude,Tile Longitude,Data Traffic/Total Traffic Volume (MB),Data Traffic/DL Traffic Volume (MB),Data Traffic/UL Traffic Volume (MB),Data Traffic/Avg. DL Throughput (Kbps),Data Traffic/Avg. UL Throughput (Kbps),Data Traffic/Max. DL Throughput (Kbps),Data Traffic/Max. UL Throughput (Kbps),DL in mbps,UL in mbps
2026/05/27 - 2026/05/28,'5846635575321284606',19.03472,72.8676,736036.05,679483.02,56553.03,8300.81,1787.0,280180.77,19830.68,8.10626,1.745117
2026/06/17 - 2026/06/18,'5865867791705633753',19.03266,72.8554,633149.57,581397.98,51751.59,25725.32,681.85,3531120.62,10781.36,25.122383,0.665869
2026/06/10 - 2026/06/11,'5836034034991993802',19.02056,72.83955,868256.3,786293.45,81962.85,19390.37,1628.73,1638309.89,38434.25,18.935908,1.590557
2026/06/10 - 2026/06/11,'5839469466902639692',19.05354,72.83094,769915.35,704026.22,65889.13,22906.01,2696.16,776062.38,160996.74,22.36915,2.632969
2026/06/03 - 2026/06/04,'5847962294469648007',19.02479,72.8933,717291.95,640867.92,76424.03,13223.61,1819.88,1051649.87,37250.64,12.913682,1.777227
2026/05/27 - 2026/05/28,'5857090836881594646',19.03647,72.87539,389751.25,359683.92,30067.33,3176.44,1811.79,24847.49,70567.02,3.101992,1.769326
2026/05/27 - 2026/05/28,'5866642117629150172',19.0932,72.84335,560375.9,509040.05,51335.85,3138.91,2188.57,450405.57,22530.19,3.065342,2.137275
2026/06/24 - 2026/06/25,'5865867791705633753',19.03266,72.8554,543848.13,504578.59,39269.54,16463.37,475.13,1598362.78,19834.45,16.07751,0.463994
2026/06/17 - 2026/06/18,'5857090836881594646',19.03647,72.87539,434949.95,397162.94,37787.01,15863.63,1892.42,2189032.38,113444.62,15.491826,1.848066
2026/06/03 - 2026/06/04,'5861481443250368354',19.05337,72.80125,191812.44,176991.84,14820.6,8812.11,1252.31,1098559.55,28856.86,8.605576,1.222959
2026/06/24 - 2026/06/25,'5858814019546630566',19.07282,72.83433,461428.51,417626.81,43801.7,23032.16,1590.92,3220539.69,48181.97,22.492344,1.553633
2026/05/27 - 2026/05/28,'5861481443250368354',19.05337,72.80125,224844.74,199889.85,24954.89,21915.33,2625.09,1212570.58,147423.49,21.401689,2.563564
2026/06/03 - 2026/06/04,'5876452803262022407',19.07554,72.89012,738534.86,686976.86,51558.0,15938.75,833.24,344867.26,44613.94,15.565186,0.813711
2026/06/10 - 2026/06/11,'5825848359743857676',19.07329,72.80802,408369.23,372727.29,35641.94,19517.1,1033.12,1772014.33,44395.14,19.059668,1.008906
2026/06/10 - 2026/06/11,'5817559949759623258',19.08091,72.87173,313615.65,282413.52,31202.13,17319.82,2029.89,2294525.1,31979.65,16.913887,1.982314
2026/06/24 - 2026/06/25,'5847962294469648007',19.02479,72.8933,733948.26,662759.85,71188.41,11893.49,2169.23,340921.22,87541.14,11.614736,2.118389
2026/05/27 - 2026/05/28,'5836034034991993802',19.02056,72.83955,441437.01,400856.24,40580.77,25702.67,1799.45,2156414.91,59123.72,25.100264,1.757275
2026/06/10 - 2026/06/11,'5861481443250368354',19.05337,72.80125,479253.18,438605.64,40647.54,26829.01,844.68,625026.02,38652.28,26.200205,0.824883
2026/06/03 - 2026/06/04,'5836034034991993802',19.02056,72.83955,844235.92,757722.2,86513.72,4025.72,1092.23,439941.5,52414.13,3.931367,1.066631
2026/05/27 - 2026/05/28,'5830295924558305991',19.03886,72.8347,263938.02,240052.22,23885.8,9903.29,2516.7,453219.75,86554.59,9.671182,2.457715
2026/05/27 - 2026/05/28,'5885590811560109431',19.08212,72.86508,483220.81,440993.84,42226.97,3354.06,509.88,126630.38,24138.06,3.275449,0.49793
2026/06/24 - 2026/06/25,'5885590811560109431',19.08212,72.86508,302757.05,271696.34,31060.71,16028.19,1119.74,125671.87,39290.06,15.652529,1.093496
2026/06/10 - 2026/06/11,'5878529227354411196',19.03928,72.85253,572966.24,529132.95,43833.29,17680.62,1178.7,516353.21,70224.47,17.26623,1.151074
2026/06/03 - 2026/06/04,'5865867791705633753',19.03266,72.8554,637015.28,586399.65,50615.63,15014.57,430.92,2001718.7,23660.03,14.662666,0.42082
2026/06/17 - 2026/06/18,'5876452803262022407',19.07554,72.89012,97331.55,86658.32,10673.23,19808.92,1690.6,719362.48,45294.66,19.344648,1.650977
2026/06/03 - 2026/06/04,'5833424509250876965',19.03926,72.88412,405208.62,360145.97,45062.65,2330.46,555.99,52647.19,30295.24,2.27584,0.542959
2026/06/24 - 2026/06/25,'5817559949759623258',19.08091,72.87173,211403.39,194975.42,16427.97,25833.11,1614.32,2153238.25,51192.98,25.227646,1.576484
2026/06/17 - 2026/06/18,'5876225076320244883',19.06549,72.87708,813695.54,742797.4,70898.14,22011.73,476.29,2022664.73,25275.32,21.49583,0.465127
2026/06/10 - 2026/06/11,'5876225076320244883',19.06549,72.87708,321520.93,297771.57,23749.36,1107.36,899.24,23707.89,32709.28,1.081406,0.878164
2026/06/17 - 2026/06/18,'5869042986827619702',19.11633,72.82108,544982.73,504070.8,40911.93,13742.18,837.81,1157382.11,11142.6,13.420098,0.818174
2026/06/24 - 2026/06/25,'5825848359743857676',19.07329,72.80802,360553.89,332524.45,28029.44,6150.13,2389.89,581700.98,137475.69,6.005986,2.333877
2026/06/17 - 2026/06/18,'5847962294469648007',19.02479,72.8933,246811.94,220201.2,26610.74,16180.56,1976.89,721714.46,42962.4,15.801328,1.930557
2026/05/27 - 2026/05/28,'5864057466923164664',19.03604,72.86485,700100.88,630871.09,69229.79,14741.1,1101.93,1988092.07,12171.13,14.395605,1.076104
2026/05/27 - 2026/05/28,'5865867791705633753',19.03266,72.8554,379447.62,338069.58,41378.04,17940.24,909.01,849411.29,39865.39,17.519766,0.887705
2026/06/17 - 2026/06/18,'5878529227354411196',19.03928,72.85253,183631.43,166939.33,16692.1,26224.72,2079.11,2382016.68,55433.24,25.610078,2.030381
2026/06/10 - 2026/06/11,'5857090836881594646',19.03647,72.87539,346634.9,315501.22,31133.68,7642.06,863.04,744655.32,19608.96,7.462949,0.842812
2026/05/27 - 2026/05/28,'5825848359743857676',19.07329,72.80802,521163.01,485006.82,36156.19,25575.84,1478.6,647462.47,75733.56,24.976406,1.443945
2026/06/03 - 2026/06/04,'5846635575321284606',19.03472,72.8676,381365.2,353335.47,28029.73,4823.75,2680.23,101362.0,105881.59,4.710693,2.617412
2026/06/17 - 2026/06/18,'5830295924558305991',19.03886,72.8347,866383.5,791772.78,74610.72,5762.52,1521.9,774530.05,34088.85,5.627461,1.48623
2026/06/24 - 2026/06/25,'5876452803262022407',19.07554,72.89012,108462.86,99444.12,9018.74,22982.95,1245.34,2686040.86,60752.77,22.444287,1.216152
2026/06/17 - 2026/06/18,'5861481443250368354',19.05337,72.80125,146216.96,129519.36,16697.6,21978.83,2287.0,2377060.66,124670.87,21.463701,2.233398
2026/06/17 - 2026/06/18,'5873040253140234351',19.0967,72.85136,738968.83,655600.16,83368.67,22730.8,1942.62,1280861.26,26788.92,22.198047,1.89709
2026/05/27 - 2026/05/28,'5867896290075989956',19.09615,72.88138,407749.75,364738.94,43010.81,1062.11,1629.05,76197.23,85207.47,1.037217,1.590869
2026/06/24 - 2026/06/25,'5873040253140234351',19.0967,72.85136,173888.5,162370.32,11518.18,12464.67,908.89,397015.22,49888.67,12.172529,0.887588
2026/06/24 - 2026/06/25,'5878529227354411196',19.03928,72.85253,436157.57,390528.57,45629.0,18563.02,1163.36,400782.44,56833.16,18.127949,1.136094
2026/05/27 - 2026/05/28,'5869042986827619702',19.11633,72.82108,164610.58,148820.51,15790.07,16961.85,2533.56,2221759.83,136614.87,16.564307,2.47418
2026/06/17 - 2026/06/18,'5885590811560109431',19.08212,72.86508,107597.97,98012.33,9585.64,8641.11,1656.7,520993.03,93305.08,8.438584,1.617871
2026/06/17 - 2026/06/18,'5853220087925439651',19.08515,72.82525,529225.45,486377.56,42847.89,5216.38,1417.23,352480.08,34220.68,5.094121,1.384014
2026/06/24 - 2026/06/25,'5876225076320244883',19.06549,72.87708,453614.47,414216.09,39398.38,11507.85,1141.13,366741.82,29293.83,11.238135,1.114385
2026/06/17 - 2026/06/18,'5833424509250876965',19.03926,72.88412,796221.97,715044.55,81177.42,24191.45,972.41,1253097.19,41863.05,23.624463,0.949619
2026/05/27 - 2026/05/28,'5878529227354411196',19.03928,72.85253,521485.58,467226.78,54258.8,3186.98,2112.84,438478.86,50564.64,3.112285,2.06332
2026/06/03 - 2026/06/04,'5857090836881594646',19.03647,72.87539,126104.75,114717.56,11387.19,3256.72,577.89,109427.56,27779.38,3.180391,0.564346
2026/06/03 - 2026/06/04,'5866642117629150172',19.0932,72.84335,87645.52,79416.52,8229.0,1960.18,1539.21,49371.77,40098.44,1.914238,1.503135
2026/06/10 - 2026/06/11,'5864057466923164664',19.03604,72.86485,356790.24,320165.29,36624.95,12746.16,1306.12,848453.72,49087.4,12.447422,1.275508
2026/06/10 - 2026/06/11,'5867896290075989956',19.09615,72.88138,582212.83,529899.51,52313.32,22674.51,658.2,2403138.5,29669.8,22.143076,0.642773
2026/06/24 - 2026/06/25,'5830295924558305991',19.03886,72.8347,768189.53,684466.94,83722.59,17679.44,867.12,1231644.97,29154.65,17.265078,0.846797
2026/06/17 - 2026/06/18,'5864057466923164664',19.03604,72.86485,329738.23,298835.59,30902.64,6450.48,1129.96,77041.17,46719.92,6.299297,1.103477
2026/06/24 - 2026/06/25,'5846635575321284606',19.03472,72.8676,758283.01,682331.68,75951.33,6007.34,718.47,404543.08,24968.79,5.866543,0.701631
2026/06/24 - 2026/06/25,'5864057466923164664',19.03604,72.86485,220841.23,206244.65,14596.58,11623.24,668.5,654014.51,26272.55,11.35082,0.652832
2026/06/17 - 2026/06/18,'5839469466902639692',19.05354,72.83094,690462.76,643296.81,47165.95,19058.71,1849.45,157306.81,55949.85,18.612021,1.806104
2026/06/17 - 2026/06/18,'5836034034991993802',19.02056,72.83955,609470.37,543243.86,66226.51,3429.37,1266.12,44307.36,67086.63,3.348994,1.236445
2026/06/10 - 2026/06/11,'5847962294469648007',19.02479,72.8933,666070.62,589906.3,76164.32,11192.42,1510.54,683489.91,78344.91,10.930098,1.475137
2026/06/10 - 2026/06/11,'5869042986827619702',19.11633,72.82108,347850.42,310686.02,37164.4,2360.39,1641.0,144938.41,17916.51,2.305068,1.602539
2026/06/03 - 2026/06/04,'5830295924558305991',19.03886,72.8347,141794.92,128483.96,13310.96,9790.82,1998.64,879949.76,81341.34,9.561348,1.951797
2026/05/27 - 2026/05/28,'5853220087925439651',19.08515,72.82525,738958.05,681727.99,57230.06,21261.74,1539.2,3005873.75,85157.98,20.763418,1.503125
2026/06/10 - 2026/06/11,'5858814019546630566',19.07282,72.83433,455015.65,420117.25,34898.4,7779.4,1033.57,425908.08,11543.21,7.59707,1.009346
2026/05/27 - 2026/05/28,'5833424509250876965',19.03926,72.88412,708328.83,638356.77,69972.06,7814.15,1095.84,186166.36,34530.47,7.631006,1.070156
2026/06/10 - 2026/06/11,'5865867791705633753',19.03266,72.8554,626418.66,579427.25,46991.41,24479.26,808.84,2979517.16,27657.75,23.905527,0.789883
2026/06/24 - 2026/06/25,'5867896290075989956',19.09615,72.88138,612938.06,567600.02,45338.04,13417.86,1949.99,387437.04,108912.95,13.103379,1.904287
2026/06/03 - 2026/06/04,'5876225076320244883',19.06549,72.87708,295280.17,265071.96,30208.21,3014.13,2314.69,327036.66,61723.61,2.943486,2.260439
2026/06/03 - 2026/06/04,'5853220087925439651',19.08515,72.82525,559114.47,505235.95,53878.52,26381.04,1019.36,3678669.6,26237.02,25.762734,0.995469
2026/06/03 - 2026/06/04,'5878529227354411196',19.03928,72.85253,518455.67,482557.89,35897.78,7357.72,461.81,600322.15,15296.03,7.185273,0.450986
2026/05/27 - 2026/05/28,'5839469466902639692',19.05354,72.83094,532493.83,475873.08,56620.75,7743.65,2179.94,1111702.55,53020.59,7.562158,2.128848
