Date,Tile,Tile Latitude,Tile Longitude,CSFB Analysis/Avg.CSFB Call Setup Time (ms),CSFB Analysis/Max.CSFB Call Setup Time (ms),CSFB Analysis/CSFB Attempt Count (#),CSFB Analysis/CSFB Success Count (#),CSFB Analysis/CSFB Failure Count (#),CSFB Analysis/CSFB Success Rate (%),CSFB Analysis/CSFB Failure Rate (%)
2026/05/27 - 2026/05/28,'5861481443250368354',19.05337,72.80125,144,1736,276,275,1,99.64,0.36
2026/06/03 - 2026/06/04,'5858814019546630566',19.07282,72.83433,119,7591,100,100,0,100.0,0.0
2026/06/10 - 2026/06/11,'5878529227354411196',19.03928,72.85253,148,1876,807,807,0,100.0,0.0
2026/06/10 - 2026/06/11,'5825848359743857676',19.07329,72.80802,120,8804,146,145,1,99.32,0.68
2026/06/03 - 2026/06/04,'5839469466902639692',19.05354,72.83094,151,6343,636,636,0,100.0,0.0
2026/06/10 - 2026/06/11,'5876452803262022407',19.07554,72.89012,56,1244,146,145,1,99.32,0.68
2026/06/10 - 2026/06/11,'5858814019546630566',19.07282,72.83433,60,9445,627,626,1,99.84,0.16
2026/05/27 - 2026/05/28,'5847962294469648007',19.02479,72.8933,144,4656,540,540,0,100.0,0.0
2026/06/03 - 2026/06/04,'5885590811560109431',19.08212,72.86508,117,4180,574,573,1,99.83,0.17
2026/06/17 - 2026/06/18,'5867896290075989956',19.09615,72.88138,143,4265,400,399,1,99.75,0.25
2026/05/27 - 2026/05/28,'5885590811560109431',19.08212,72.86508,100,3648,146,146,0,100.0,0.0
2026/06/03 - 2026/06/04,'5857090836881594646',19.03647,72.87539,52,8941,813,813,0,100.0,0.0
2026/06/03 - 2026/06/04,'5864057466923164664',19.03604,72.86485,92,5421,924,924,0,100.0,0.0
2026/06/24 - 2026/06/25,'5833424509250876965',19.03926,72.88412,89,4688,924,923,1,99.89,0.11
2026/06/24 - 2026/06/25,'5867896290075989956',19.09615,72.88138,62,3250,697,695,2,99.71,0.29
2026/06/24 - 2026/06/25,'5865867791705633753',19.03266,72.8554,99,9598,77,77,0,100.0,0.0
2026/06/10 - 2026/06/11,'5885590811560109431',19.08212,72.86508,56,451,540,539,1,99.81,0.19
2026/06/17 - 2026/06/18,'5853220087925439651',19.08515,72.82525,67,3238,924,919,5,99.46,0.54
2026/06/10 - 2026/06/11,'5857090836881594646',19.03647,72.87539,111,8743,517,517,0,100.0,0.0
2026/06/03 - 2026/06/04,'5846635575321284606',19.03472,72.8676,70,8973,709,707,2,99.72,0.28
2026/05/27 - 2026/05/28,'5864057466923164664',19.03604,72.86485,152,932,276,276,0,100.0,0.0
2026/06/17 - 2026/06/18,'5817559949759623258',19.08091,72.87173,65,5177,517,517,0,100.0,0.0
2026/05/27 - 2026/05/28,'5878529227354411196',19.03928,72.85253,64,6384,185,185,0,100.0,0.0
2026/06/24 - 2026/06/25,'5878529227354411196',19.03928,72.85253,107,3439,500,498,2,99.6,0.4
