Date,Tile,Tile Latitude,Tile Longitude,ERAB Setup Success/ERAB Setup Success Count (#),ERAB Setup Success/ERAB Setup Success Rate (%),ERAB Setup Success/ERAB Start Count (#)
2026/05/27 - 2026/05/28,'5873040253140234351',19.0967,72.85136,5043,99.84,5051
2026/05/27 - 2026/05/28,'5865867791705633753',19.03266,72.8554,7520,99.8,7535
2026/05/27 - 2026/05/28,'5885590811560109431',19.08212,72.86508,1929,99.79,1933
2026/06/03 - 2026/06/04,'5878529227354411196',19.03928,72.85253,8235,99.87,8246
2026/06/10 - 2026/06/11,'5847962294469648007',19.02479,72.8933,6469,99.74,6486
2026/06/03 - 2026/06/04,'5873040253140234351',19.0967,72.85136,7049,99.72,7069
2026/05/27 - 2026/05/28,'5847962294469648007',19.02479,72.8933,5250,99.83,5259
2026/06/03 - 2026/06/04,'5836034034991993802',19.02056,72.83955,11775,99.71,11809
2026/06/17 - 2026/06/18,'5865867791705633753',19.03266,72.8554,2615,99.81,2620
2026/06/17 - 2026/06/18,'5839469466902639692',19.05354,72.83094,9470,99.82,9487
2026/05/27 - 2026/05/28,'5876225076320244883',19.06549,72.87708,6848,99.85,6858
2026/05/27 - 2026/05/28,'5839469466902639692',19.05354,72.83094,6177,99.89,6184
2026/06/17 - 2026/06/18,'5867896290075989956',19.09615,72.88138,5181,99.98,5182
2026/06/17 - 2026/06/18,'5858814019546630566',19.07282,72.83433,5650,99.74,5665
2026/05/27 - 2026/05/28,'5857090836881594646',19.03647,72.87539,10441,99.86,10456
2026/06/17 - 2026/06/18,'5836034034991993802',19.02056,72.83955,10821,99.9,10832
2026/06/03 - 2026/06/04,'5857090836881594646',19.03647,72.87539,5347,99.72,5362
2026/06/24 - 2026/06/25,'5861481443250368354',19.05337,72.80125,7370,99.81,7384
2026/06/24 - 2026/06/25,'5853220087925439651',19.08515,72.82525,6600,99.79,6614
2026/06/10 - 2026/06/11,'5836034034991993802',19.02056,72.83955,6506,99.98,6507
2026/06/17 - 2026/06/18,'5817559949759623258',19.08091,72.87173,2337,100.0,2337
2026/06/03 - 2026/06/04,'5864057466923164664',19.03604,72.86485,10977,99.82,10997
2026/06/24 - 2026/06/25,'5869042986827619702',19.11633,72.82108,8460,99.86,8472
2026/06/24 - 2026/06/25,'5858814019546630566',19.07282,72.83433,5745,99.83,5755
2026/06/10 - 2026/06/11,'5853220087925439651',19.08515,72.82525,10324,99.79,10346
2026/06/24 - 2026/06/25,'5885590811560109431',19.08212,72.86508,11440,99.79,11464
2026/06/10 - 2026/06/11,'5846635575321284606',19.03472,72.8676,6665,99.84,6676
2026/06/03 - 2026/06/04,'5861481443250368354',19.05337,72.80125,3479,100.0,3479
2026/05/27 - 2026/05/28,'5876452803262022407',19.07554,72.89012,3847,99.95,3849
2026/06/10 - 2026/06/11,'5833424509250876965',19.03926,72.88412,5723,99.86,5731
2026/06/03 - 2026/06/04,'5865867791705633753',19.03266,72.8554,11952,99.89,11965
2026/06/10 - 2026/06/11,'5865867791705633753',19.03266,72.8554,9310,99.85,9324
2026/06/03 - 2026/06/04,'5858814019546630566',19.07282,72.83433,6449,99.83,6460
2026/06/03 - 2026/06/04,'5885590811560109431',19.08212,72.86508,8554,99.84,8568
2026/05/27 - 2026/05/28,'5878529227354411196',19.03928,72.85253,10537,99.93,10544
2026/06/24 - 2026/06/25,'5833424509250876965',19.03926,72.88412,4227,99.93,4230
2026/05/27 - 2026/05/28,'5817559949759623258',19.08091,72.87173,5770,99.9,5776
2026/05/27 - 2026/05/28,'5867896290075989956',19.09615,72.88138,2085,99.71,2091
2026/06/03 - 2026/06/04,'5833424509250876965',19.03926,72.88412,8959,99.71,8985
2026/05/27 - 2026/05/28,'5825848359743857676',19.07329,72.80802,7319,99.85,7330
2026/05/27 - 2026/05/28,'5866642117629150172',19.0932,72.84335,8228,99.88,8238
2026/06/17 - 2026/06/18,'5873040253140234351',19.0967,72.85136,9474,99.92,9482
2026/06/24 - 2026/06/25,'5867896290075989956',19.09615,72.88138,9630,99.76,9653
2026/06/03 - 2026/06/04,'5846635575321284606',19.03472,72.8676,6228,99.71,6246
2026/06/17 - 2026/06/18,'5876225076320244883',19.06549,72.87708,6023,99.85,6032
2026/06/10 - 2026/06/11,'5825848359743857676',19.07329,72.80802,7845,99.82,7859
2026/06/24 - 2026/06/25,'5839469466902639692',19.05354,72.83094,3011,99.77,3018
2026/06/24 - 2026/06/25,'5846635575321284606',19.03472,72.8676,2686,99.81,2691
2026/06/10 - 2026/06/11,'5866642117629150172',19.0932,72.84335,4634,99.98,4635
2026/06/24 - 2026/06/25,'5830295924558305991',19.03886,72.8347,5603,99.79,5615
2026/06/17 - 2026/06/18,'5825848359743857676',19.07329,72.80802,8453,99.76,8473
2026/06/24 - 2026/06/25,'5817559949759623258',19.08091,72.87173,7211,99.99,7212
2026/06/03 - 2026/06/04,'5817559949759623258',19.08091,72.87173,9591,99.9,9601
2026/06/17 - 2026/06/18,'5869042986827619702',19.11633,72.82108,7832,99.86,7843
2026/05/27 - 2026/05/28,'5836034034991993802',19.02056,72.83955,8132,99.99,8133
2026/06/24 - 2026/06/25,'5864057466923164664',19.03604,72.86485,9630,99.91,9639
2026/05/27 - 2026/05/28,'5853220087925439651',19.08515,72.82525,4095,99.85,4101
2026/05/27 - 2026/05/28,'5830295924558305991',19.03886,72.8347,6395,99.95,6398
2026/06/10 - 2026/06/11,'5858814019546630566',19.07282,72.83433,7346,99.85,7357
2026/06/10 - 2026/06/11,'5878529227354411196',19.03928,72.85253,6331,99.87,6339
2026/05/27 - 2026/05/28,'5861481443250368354',19.05337,72.80125,3060,99.77,3067
2026/06/03 - 2026/06/04,'5853220087925439651',19.08515,72.82525,4655,99.72,4668
2026/06/10 - 2026/06/11,'5839469466902639692',19.05354,72.83094,9238,99.83,9254
2026/06/10 - 2026/06/11,'5885590811560109431',19.08212,72.86508,1946,99.74,1951
2026/06/24 - 2026/06/25,'5876452803262022407',19.07554,72.89012,3856,99.87,3861
2026/06/03 - 2026/06/04,'5876225076320244883',19.06549,72.87708,11624,99.98,11626
2026/06/17 - 2026/06/18,'5876452803262022407',19.07554,72.89012,10057,99.99,10058
2026/06/10 - 2026/06/11,'5857090836881594646',19.03647,72.87539,2858,99.93,2860
2026/06/24 - 2026/06/25,'5847962294469648007',19.02479,72.8933,2110,99.76,2115
2026/06/03 - 2026/06/04,'5839469466902639692',19.05354,72.83094,9729,99.79,9749
2026/06/17 - 2026/06/18,'5846635575321284606',19.03472,72.8676,5249,99.72,5264
2026/06/24 - 2026/06/25,'5836034034991993802',19.02056,72.83955,4868,100.0,4868
2026/06/03 - 2026/06/04,'5825848359743857676',19.07329,72.80802,2043,99.8,2047
2026/06/24 - 2026/06/25,'5878529227354411196',19.03928,72.85253,5889,99.93,5893
