Date,Tile,Tile Latitude,Tile Longitude,VoLTE Setup Failure/VoLTE Setup Failure (#),VoLTE Setup Failure/VoLTE Setup Failure Rate (%),VoLTE Setup Failure/Weighted VoLTE Setup Failure,VoLTE Setup Failure/VoLTE Start Failure Count (#)
2026/06/24 - 2026/06/25,'5866642117629150172',19.0932,72.84335,2,66.67,1.94,3
2026/06/10 - 2026/06/11,'5836034034991993802',19.02056,72.83955,0,0.0,0.0,15
2026/05/27 - 2026/05/28,'5825848359743857676',19.07329,72.80802,0,0.0,0.0,3
2026/06/03 - 2026/06/04,'5839469466902639692',19.05354,72.83094,2,0.64,0.49,314
2026/06/17 - 2026/06/18,'5861481443250368354',19.05337,72.80125,1,100.0,0.99,1
2026/06/24 - 2026/06/25,'5876452803262022407',19.07554,72.89012,0,0.0,0.0,1
2026/05/27 - 2026/05/28,'5864057466923164664',19.03604,72.86485,1,6.67,0.87,15
2026/05/27 - 2026/05/28,'5857090836881594646',19.03647,72.87539,129,6.14,5.86,2100
2026/05/27 - 2026/05/28,'5817559949759623258',19.08091,72.87173,1,1.35,0.57,74
2026/06/17 - 2026/06/18,'5825848359743857676',19.07329,72.80802,2,4.26,1.36,47
2026/06/10 - 2026/06/11,'5858814019546630566',19.07282,72.83433,1,100.0,0.99,1
2026/06/24 - 2026/06/25,'5878529227354411196',19.03928,72.85253,434,28.02,26.32,1549
2026/06/10 - 2026/06/11,'5857090836881594646',19.03647,72.87539,2,100.0,1.96,2
2026/06/03 - 2026/06/04,'5825848359743857676',19.07329,72.80802,6,5.5,2.87,109
2026/05/27 - 2026/05/28,'5876452803262022407',19.07554,72.89012,1,1.35,0.57,74
2026/06/17 - 2026/06/18,'5836034034991993802',19.02056,72.83955,1,3.12,0.76,32
2026/06/10 - 2026/06/11,'5864057466923164664',19.03604,72.86485,0,0.0,0.0,1
2026/06/17 - 2026/06/18,'5853220087925439651',19.08515,72.82525,129,6.14,5.86,2100
2026/05/27 - 2026/05/28,'5885590811560109431',19.08212,72.86508,9,2.87,2.18,314
2026/06/24 - 2026/06/25,'5830295924558305991',19.03886,72.8347,1,100.0,0.99,1
2026/05/27 - 2026/05/28,'5878529227354411196',19.03928,72.85253,1,6.67,0.87,15
2026/06/10 - 2026/06/11,'5833424509250876965',19.03926,72.88412,4,5.41,2.3,74
2026/06/03 - 2026/06/04,'5833424509250876965',19.03926,72.88412,8,17.02,5.44,47
2026/05/27 - 2026/05/28,'5846635575321284606',19.03472,72.8676,17,15.6,8.14,109
2026/06/03 - 2026/06/04,'5878529227354411196',19.03928,72.85253,0,0.0,0.0,8
2026/06/10 - 2026/06/11,'5853220087925439651',19.08515,72.82525,10,9.17,4.78,109
2026/06/17 - 2026/06/18,'5873040253140234351',19.0967,72.85136,1,100.0,0.99,1
2026/06/17 - 2026/06/18,'5865867791705633753',19.03266,72.8554,0,0.0,0.0,3
2026/05/27 - 2026/05/28,'5833424509250876965',19.03926,72.88412,0,0.0,0.0,1
2026/06/03 - 2026/06/04,'5846635575321284606',19.03472,72.8676,0,0.0,0.0,8
2026/06/17 - 2026/06/18,'5858814019546630566',19.07282,72.83433,3,4.05,1.72,74
2026/05/27 - 2026/05/28,'5876225076320244883',19.06549,72.87708,20,7.69,5.55,260
2026/06/17 - 2026/06/18,'5885590811560109431',19.08212,72.86508,3,100.0,2.91,3
2026/06/24 - 2026/06/25,'5858814019546630566',19.07282,72.83433,3,6.38,2.04,47
2026/06/17 - 2026/06/18,'5866642117629150172',19.0932,72.84335,5,10.64,3.4,47
2026/06/24 - 2026/06/25,'5857090836881594646',19.03647,72.87539,1,3.12,0.76,32
2026/06/17 - 2026/06/18,'5867896290075989956',19.09615,72.88138,1,100.0,0.99,1
2026/05/27 - 2026/05/28,'5866642117629150172',19.0932,72.84335,21,28.38,12.07,74
2026/06/10 - 2026/06/11,'5867896290075989956',19.09615,72.88138,1,0.92,0.48,109
2026/06/10 - 2026/06/11,'5825848359743857676',19.07329,72.80802,4,4.04,2.01,99
2026/06/17 - 2026/06/18,'5857090836881594646',19.03647,72.87539,0,0.0,0.0,1
2026/06/17 - 2026/06/18,'5846635575321284606',19.03472,72.8676,1,2.13,0.68,47
2026/06/17 - 2026/06/18,'5869042986827619702',19.11633,72.82108,1,3.12,0.76,32
2026/05/27 - 2026/05/28,'5847962294469648007',19.02479,72.8933,0,0.0,0.0,3
2026/05/27 - 2026/05/28,'5869042986827619702',19.11633,72.82108,9,9.09,4.52,99
2026/06/10 - 2026/06/11,'5839469466902639692',19.05354,72.83094,0,0.0,0.0,2
2026/05/27 - 2026/05/28,'5858814019546630566',19.07282,72.83433,6,5.5,2.87,109
2026/06/24 - 2026/06/25,'5867896290075989956',19.09615,72.88138,2,25.0,1.85,8
2026/05/27 - 2026/05/28,'5839469466902639692',19.05354,72.83094,1,100.0,0.99,1
2026/06/17 - 2026/06/18,'5878529227354411196',19.03928,72.85253,0,0.0,0.0,1
2026/06/24 - 2026/06/25,'5836034034991993802',19.02056,72.83955,1,3.12,0.76,32
2026/06/24 - 2026/06/25,'5839469466902639692',19.05354,72.83094,1,50.0,0.98,2
2026/06/10 - 2026/06/11,'5885590811560109431',19.08212,72.86508,3,100.0,2.91,3
2026/05/27 - 2026/05/28,'5853220087925439651',19.08515,72.82525,0,0.0,0.0,109
2026/06/03 - 2026/06/04,'5876452803262022407',19.07554,72.89012,1,12.5,0.93,8
2026/06/17 - 2026/06/18,'5876225076320244883',19.06549,72.87708,5,5.05,2.51,99
2026/06/03 - 2026/06/04,'5866642117629150172',19.0932,72.84335,1,3.12,0.76,32
2026/06/03 - 2026/06/04,'5836034034991993802',19.02056,72.83955,51,19.62,14.17,260
2026/06/24 - 2026/06/25,'5825848359743857676',19.07329,72.80802,9,9.09,4.52,99
2026/06/24 - 2026/06/25,'5847962294469648007',19.02479,72.8933,1,2.13,0.68,47
2026/06/24 - 2026/06/25,'5873040253140234351',19.0967,72.85136,1,100.0,0.99,1
2026/06/17 - 2026/06/18,'5876452803262022407',19.07554,72.89012,0,0.0,0.0,3
2026/05/27 - 2026/05/28,'5867896290075989956',19.09615,72.88138,1,6.67,0.87,15
2026/06/17 - 2026/06/18,'5839469466902639692',19.05354,72.83094,2,0.77,0.56,260
2026/06/10 - 2026/06/11,'5861481443250368354',19.05337,72.80125,1,100.0,0.99,1
2026/05/27 - 2026/05/28,'5830295924558305991',19.03886,72.8347,2,13.33,1.74,15
2026/06/24 - 2026/06/25,'5865867791705633753',19.03266,72.8554,1,3.12,0.76,32
