Date,Tile,Tile Latitude,Tile Longitude,RRC Setup Success/RRC Setup Success Count (#),RRC Setup Success/RRC Setup Success Rate(%),RRC Setup Success/RRC Start Count (#)
2026/06/24 - 2026/06/25,'5873040253140234351',19.0967,72.85136,3212,99.91,3215
2026/06/03 - 2026/06/04,'5866642117629150172',19.0932,72.84335,4223,99.88,4228
2026/06/24 - 2026/06/25,'5861481443250368354',19.05337,72.80125,4487,99.93,4490
2026/06/17 - 2026/06/18,'5839469466902639692',19.05354,72.83094,3856,99.9,3860
2026/05/27 - 2026/05/28,'5825848359743857676',19.07329,72.80802,6156,99.85,6165
2026/05/27 - 2026/05/28,'5867896290075989956',19.09615,72.88138,3349,99.88,3353
2026/06/17 - 2026/06/18,'5858814019546630566',19.07282,72.83433,4758,99.87,4764
2026/06/17 - 2026/06/18,'5876452803262022407',19.07554,72.89012,8506,99.87,8517
2026/06/24 - 2026/06/25,'5830295924558305991',19.03886,72.8347,7810,99.96,7813
2026/05/27 - 2026/05/28,'5847962294469648007',19.02479,72.8933,4969,99.98,4970
2026/06/03 - 2026/06/04,'5864057466923164664',19.03604,72.86485,4658,99.89,4663
2026/06/10 - 2026/06/11,'5885590811560109431',19.08212,72.86508,1783,99.94,1784
2026/06/24 - 2026/06/25,'5817559949759623258',19.08091,72.87173,4757,99.87,4763
2026/06/10 - 2026/06/11,'5839469466902639692',19.05354,72.83094,5060,99.86,5067
2026/06/17 - 2026/06/18,'5846635575321284606',19.03472,72.8676,7440,100.0,7440
2026/06/17 - 2026/06/18,'5869042986827619702',19.11633,72.82108,5757,99.91,5762
2026/06/17 - 2026/06/18,'5833424509250876965',19.03926,72.88412,7130,99.97,7132
2026/05/27 - 2026/05/28,'5817559949759623258',19.08091,72.87173,3102,99.94,3104
2026/06/03 - 2026/06/04,'5825848359743857676',19.07329,72.80802,5891,99.92,5896
2026/06/10 - 2026/06/11,'5878529227354411196',19.03928,72.85253,6379,100.0,6379
2026/06/03 - 2026/06/04,'5817559949759623258',19.08091,72.87173,6113,99.98,6114
2026/05/27 - 2026/05/28,'5876225076320244883',19.06549,72.87708,5368,99.89,5374
2026/06/03 - 2026/06/04,'5846635575321284606',19.03472,72.8676,6213,99.98,6214
2026/06/17 - 2026/06/18,'5830295924558305991',19.03886,72.8347,1767,100.0,1767
2026/06/03 - 2026/06/04,'5858814019546630566',19.07282,72.83433,4445,99.98,4446
2026/06/24 - 2026/06/25,'5825848359743857676',19.07329,72.80802,8042,99.86,8053
2026/06/24 - 2026/06/25,'5853220087925439651',19.08515,72.82525,3565,99.94,3567
2026/06/10 - 2026/06/11,'5865867791705633753',19.03266,72.8554,4659,99.94,4662
2026/06/24 - 2026/06/25,'5876225076320244883',19.06549,72.87708,3379,99.94,3381
2026/06/10 - 2026/06/11,'5873040253140234351',19.0967,72.85136,2181,99.91,2183
2026/06/17 - 2026/06/18,'5847962294469648007',19.02479,72.8933,6591,99.91,6597
2026/06/10 - 2026/06/11,'5866642117629150172',19.0932,72.84335,5827,99.95,5830
2026/06/10 - 2026/06/11,'5846635575321284606',19.03472,72.8676,2605,99.96,2606
2026/06/03 - 2026/06/04,'5847962294469648007',19.02479,72.8933,2319,99.96,2320
2026/06/17 - 2026/06/18,'5876225076320244883',19.06549,72.87708,6367,99.98,6368
2026/06/24 - 2026/06/25,'5866642117629150172',19.0932,72.84335,7535,99.97,7537
2026/06/03 - 2026/06/04,'5873040253140234351',19.0967,72.85136,6009,99.92,6014
2026/06/10 - 2026/06/11,'5847962294469648007',19.02479,72.8933,1502,99.93,1503
2026/06/03 - 2026/06/04,'5869042986827619702',19.11633,72.82108,5748,99.86,5756
2026/06/24 - 2026/06/25,'5839469466902639692',19.05354,72.83094,1895,99.84,1898
2026/05/27 - 2026/05/28,'5876452803262022407',19.07554,72.89012,4203,99.88,4208
2026/06/10 - 2026/06/11,'5833424509250876965',19.03926,72.88412,4668,99.91,4672
2026/06/03 - 2026/06/04,'5853220087925439651',19.08515,72.82525,5116,99.9,5121
2026/05/27 - 2026/05/28,'5836034034991993802',19.02056,72.83955,7438,99.95,7442
2026/06/17 - 2026/06/18,'5825848359743857676',19.07329,72.80802,4232,99.88,4237
2026/06/03 - 2026/06/04,'5867896290075989956',19.09615,72.88138,4686,100.0,4686
2026/06/17 - 2026/06/18,'5857090836881594646',19.03647,72.87539,4259,99.95,4261
2026/06/24 - 2026/06/25,'5846635575321284606',19.03472,72.8676,1665,99.94,1666
2026/06/24 - 2026/06/25,'5876452803262022407',19.07554,72.89012,1560,100.0,1560
2026/06/10 - 2026/06/11,'5876225076320244883',19.06549,72.87708,5965,100.0,5965
2026/06/17 - 2026/06/18,'5864057466923164664',19.03604,72.86485,6969,99.89,6977
2026/06/24 - 2026/06/25,'5864057466923164664',19.03604,72.86485,2911,99.93,2913
2026/06/10 - 2026/06/11,'5857090836881594646',19.03647,72.87539,6698,99.9,6705
2026/06/03 - 2026/06/04,'5876452803262022407',19.07554,72.89012,8846,99.97,8849
2026/05/27 - 2026/05/28,'5864057466923164664',19.03604,72.86485,7795,99.86,7806
2026/06/17 - 2026/06/18,'5873040253140234351',19.0967,72.85136,8291,99.98,8293
2026/06/10 - 2026/06/11,'5817559949759623258',19.08091,72.87173,6783,99.97,6785
